Date,Open,High,Low,Close,Volume,Adj Close,,
14-03-2017,29437.23047,29561.92969,29356.05078,29442.63086,29200,29442.63086,,0.017149051
15-03-2017,29452.85938,29500.08008,29358.91016,29398.10938,392500,29398.10938,,-0.001512144
16-03-2017,29482.83008,29614.78906,29482.83008,29585.84961,18400,29585.84961,,0.006386133
17-03-2017,29755.74023,29824.61914,29601.85938,29648.99023,14500,29648.99023,,0.002134149
20-03-2017,29653.53906,29699.48047,29482.40039,29518.74023,400800,29518.74023,,-0.004393067
21-03-2017,29525.88086,29585.05078,29380.14063,29485.44922,11500,29485.44922,,-0.001127793
22-03-2017,29341.41016,29341.41016,29137.48047,29167.67969,14700,29167.67969,,-0.010777164
23-03-2017,29201.00977,29373.78906,29198.08008,29332.16016,26000,29332.16016,,0.005639134
24-03-2017,29350.59961,29539.84961,29350.16992,29421.40039,21000,29421.40039,,0.003042402
27-03-2017,29395.67969,29420.69922,29163.53906,29237.15039,15100,29237.15039,,-0.006262448
28-03-2017,29301.2207,29442.17969,29301.2207,29409.51953,33500,29409.51953,,0.005895552
29-03-2017,29463.00977,29554.39063,29439.41992,29531.42969,41600,29531.42969,,0.004145262
30-03-2017,29538.0293,29684.53906,29521.65039,29647.41992,15700,29647.41992,,0.003927688
31-03-2017,29633.91016,29687.64063,29552.60938,29620.5,11800,29620.5,,-0.000908002
03-04-2017,29737.73047,29926.93945,29705.7207,29910.2207,10100,29910.2207,,0.009781088
05-04-2017,29996.0293,30007.48047,29817.68945,29974.24023,11200,29974.24023,,0.00214039
,,,,,,,,
,,,,,,,,
,,,,,,,,0.000558782
